Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating text,cost type
VarieTea,Vadodara,"83/A, Alkapuri Society, Near Baroda High School, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara","Cafe, Fast Food",400,2,3.9,Good,average
Barbeque Nation,Vadodara,"3rd Floor, Shreem Shalini Mall, R.C. Dutt Road, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara","Mughlai, North Indian",1500,4,4.3,Very Good,expensive
Little Italy,Vadodara,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",Italian,1000,3,4.1,Very Good,expensive
Meraki,Vadodara,"Opposite Kunj Society, Near Nilkanthvarni Jewellers, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara","North Indian, Continental, Italian, Asian",1200,3,4,Very Good,expensive
That Place,Vadodara,"33, Sampatrao Colony, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara","Italian, Mexican, Continental",1500,4,4.4,Very Good,expensive
Wok On Fire,Vadodara,"1, Olive Complex, Opposite ABS Tower, B/S ICICI Wealth Bank, Old Padra Road, Diwalipura, Diwalipura, Vadodara",Diwalipura,"Diwalipura, Vadodara","Thai, Chinese, Asian",800,3,3.8,Good,expensive
Mandap - Hotel Express Towers,Vadodara,"Hotel Express Towers, R.C. Dutt Road, Alkapuri, Vadodara","Hotel Express Towers, Alkapuri","Hotel Express Towers, Alkapuri, Vadodara",Gujarati,600,2,4,Very Good,average
Offside Lounge,Vadodara,"1st Floor, Kanchanganga Apartments, Near Bird Circle, Race Course Road, Vadiwadi, Vadodara","M Cube Mall, Vadiwadi","M Cube Mall, Vadiwadi, Vadodara","Continental, Chinese, Mexican, North Indian",800,3,3.8,Good,expensive
Gazebo Garden Restaurant,Vadodara,"Opposite FGI, Near Iscon Harmony, Sevasi-Bhimpura Road, Near Panchvati, Vadodara",Panchvati,"Panchvati, Vadodara",North Indian,1000,3,3.5,Good,expensive
La Quello - Mediterranean Kitchen,Vadodara,"1, Trivia, Natu Bhai Circle, Race Course Road, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","Mediterranean, Italian",1300,3,4.6,Excellent,expensive
El Amigos Kitchen,Vadodara,"Ground Floor, Prestige Building, Race Course Road, Race Course Circle, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Thai, Italian, Chinese, Mexican",800,3,3.5,Good,expensive
Mr Toasties,Vadodara,"2/8 MIG Flats, Opposite Indraprastha Complex, Near LG Showroom, Inox Road, Ellora Park, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",Fast Food,300,1,3.9,Good,average
The Yellow Chilli,Vadodara,"2nd Floor, 1-7, Sharnam Fortune, Opposite Inox Multiplex, Race Course Circle, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai",800,3,3.9,Good,expensive
Coffee Culture,Vadodara,"1-8, Opposite INOX Multiplex, Sharnam Fortune, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",Cafe,600,2,4.3,Very Good,average
Freshco - The Health Cafí©,Vadodara,"Shop 2-3, Ground Floor, Opposite Natubhai Circle, Trivia Complex, Race Course, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",Cafe,700,2,4.2,Very Good,expensive
Pizza Hut,Vadodara,"51,Akashganga Complex,Race Course Road, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","Pizza, Italian",600,2,4.1,Very Good,average
Tomato's,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,3,4.1,Very Good,expensive
Open Hand Shop & Cafe,Varanasi,"B1/128-3, Dumraun Bagh Colony, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi",Cafe,450,2,3.4,Average,average
Pizzeria Vaatika Cafe,Varanasi,"B-1/178, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi","Pizza, Chinese",700,3,3.7,Good,expensive
Aman Restaurant,Varanasi,"Boradway Hotel, Near IP Vijaya Mall, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi","Chinese, North Indian",650,3,3.2,Average,average
Blue Lassi,Varanasi,"CK 12/1, Kachauri Gali Chowk, Near Rajbandhu Sweet, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi",Beverages,300,2,3.7,Good,average
Kerala Cafe,Varanasi,"Bhelupur Crossing, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi",South Indian,300,2,3.6,Good,average
Baati Chokha,Varanasi,"Anand Mandir Cinema, Telibagh, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",North Indian,450,2,3.7,Good,average
Deena Chat Bhandar,Varanasi,"D-47/184, Luxa Road, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",Street Food,0,1,3.8,Good,cheap
Dosa Cafe,Varanasi,"D 15/49, Maan Mandir, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",South Indian,450,2,3.5,Good,average
Kashi Chat Bhandar,Varanasi,"D-37/49, Godaulia, Varanasi",Godaulia,"Godaulia, Varanasi",Street Food,150,1,4.1,Very Good,cheap
Chrystal Bowl Restaurant,Varanasi,"34-B, Ravindra Puri, Near Lanka, Varanasi",Lanka,"Lanka, Varanasi",North Indian,800,3,3.3,Average,expensive
Flavours Cafe,Varanasi,"1st Floor, Swastik Plaza, Near Ravidas Gate, BHU Road, Lanka, Varanasi",Lanka,"Lanka, Varanasi","North Indian, Cafe",400,2,3.4,Average,average
Ming Garden,Varanasi,"34-B, Ravindra Puri, Near Lanka,Varanasi",Lanka,"Lanka, Varanasi",Chinese,600,3,3.5,Good,average
Burger King,Varanasi,"S 19/1 K, Mint House, Near Hotel Taj, Nai Bazar Cantt, Nadesar, Varanasi",Nadesar,"Nadesar, Varanasi","North Indian, Fast Food",350,2,3.4,Average,average
Tandoor Villa,Varanasi,"Near Sbi Atm, Main Road, Nadesar, Varanasi",Nadesar,"Nadesar, Varanasi","North Indian, Mughlai",600,3,3.6,Good,average
eastWEST - Radisson Hotel,Varanasi,"Radisson Hotel, The Mall Road, Nadesar, Varanasi","Radisson Hotel, Nadesar","Radisson Hotel, Nadesar, Varanasi","Cafe, North Indian, Continental",600,3,3.3,Average,average
The Great Kabab Factory - Radisson Hotel,Varanasi,"Radisson Hotel, The Mall Road, Nadesar, Varanasi","Radisson Hotel, Nadesar","Radisson Hotel, Nadesar, Varanasi","North Indian, Mughlai",1100,4,3.3,Average,expensive
I:ba Cafe & Restaurant,Varanasi,"B 3/335, Krimkund, Shivala, Varanasi",Shivala,"Shivala, Varanasi","Japanese, American, North Indian, Fast Food",1000,4,3.5,Good,expensive
3Cherryz Sky Lounge & Cafe,Varanasi,"5th Floor Roof Top,(Above Big Bazaar) Sigra. Opp. IP Mall Sigra., Sigra, Varanasi",Sigra,"Sigra, Varanasi","Cafe, North Indian, Chinese",500,3,3.2,Average,average
VNS Live Studio,Varanasi,"Hotel Varuna Ground Floor, 22 Gulab Bagh, Sigra, Varanasi",Sigra,"Sigra, Varanasi","Chinese, North Indian",0,1,3.5,Good,cheap
Singh's Delight Restaurant,Varanasi,"1st Floor, Nath Complex, Beside Life Line Hospital, Sunderpur, Varanasi",Sunderpur,"Sunderpur, Varanasi","Chinese, North Indian",700,3,3.5,Good,expensive
Pizza Hut,Vizag,"52-1-35,36&38, CMR Mall, New Resapavanipalem, Maddilapalem, Vizag","CMR Central Mall, Maddilapalem","CMR Central Mall, Maddilapalem, Vizag","Pizza, Fast Food",600,2,4.6,Excellent,average
Pizza Hut,Vizag,"Plot No 47- 10-23/3, 5th Floor, Isnar Khazana Towers, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag","Pizza, Fast Food",600,2,4.3,Very Good,average
Sri Sairam Parlour,Vizag,"Diamond Park, Railway New Colony Road, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag","South Indian, North Indian",300,1,4.2,Very Good,average
Mekong - Hotel GreenPark,Vizag,"Hotel GreenPark, Waltair Main Road, Waltair Uplands, Vizag","Hotel GreenPark, Vizag","Hotel GreenPark, Vizag, Vizag","Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",1300,3,4.4,Very Good,expensive
The Square - Hotel Novotel,Vizag,"Hotel Novotel, Beach Road, Maharani Peta, Vizag","Hotel Novotel, Maharani Peta","Hotel Novotel, Maharani Peta, Vizag","Continental, North Indian",1700,4,4.1,Very Good,expensive
Alpha Hotel,Vizag,"28-10-33/6, Jagdamba Commercial Complex, Chitralaya Cinema Hall, Jagadamba Junction, Visakhapatnam, Jagadamba Junction, Vizag",Jagadamba Junction,"Jagadamba Junction, Vizag","North Indian, Biryani",300,1,3.7,Good,average
Barbeque Nation,Vizag,"1st Floor, ATR Towers, Harbour Park Road,  Panduranga Puram, Near Harbour Park, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag","North Indian, Chinese, Mediterranean",1600,4,4.9,Excellent,expensive
Double Roti,Vizag,"Ground Floor, ATR Towers, Harbour Park Road, Pandurangapuram, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag","Cafe, Fast Food, American",1000,3,3.8,Good,expensive
Bake My Wish,Vizag,"4-70-4, Opposite NCC Canteen, Lawsons Bay, Vizag",Lawsons Bay,"Lawsons Bay, Vizag",Fast Food,450,2,3.8,Good,average
Kamat Restaurant,Vizag,"Beach Road, Near Santhi Ashram, Lawsons Bay, Visakhapatnam",Lawsons Bay,"Lawsons Bay, Vizag","Andhra, North Indian, Chinese, Seafood, Biryani",600,2,3.6,Good,average
My Restaurant,Vizag,"HB Colony, Isukathota, National Highway 5, Besides Honda Showroom, Maddilapalem, Vizag",Maddilapalem,"Maddilapalem, Vizag","Andhra, North Indian, Chinese",600,2,3.5,Good,average
Percolator Coffee House,Vizag,"RK Beach, Maharani Peta, Vizag Visakhapatnam., Maharani Peta",Maharani Peta,"Maharani Peta, Vizag","Mughlai, Chinese, Cafe, BBQ, Cajun",500,2,3.6,Good,average
Tea Trails,Vizag,"7-5-82, Sea Shore Apartments, Southern Portion Cellar Floor, R K Beach Road, Maharani Peta, Vizag",Maharani Peta,"Maharani Peta, Vizag",Fast Food,500,2,3.7,Good,average
Six Degrees,Vizag,"1-83-29, Opposite Pollock Lotus School, MVP Double Road, Sector 5, MVP Colony, Vizag",MVP Colony,"MVP Colony, Vizag","South Indian, Chinese, Continental, Italian, North Indian",600,2,4.1,Very Good,average
Sea Inn - Raju Gaari Dhaba,Vizag,"Beach Road, Opposite Cyclone Shelter ,   Visakhapatnam, Rushikonda, Vizag",Rushikonda,"Rushikonda, Vizag","Biryani, Andhra",450,2,4,Very Good,average
D Cabana,Vizag,"Beach Road, Near Bus Stop, Sagar Nagar, Visakhapatnam",Sagar Nagar,"Sagar Nagar, Vizag","Continental, Seafood, Chinese, North Indian, Biryani",600,2,3.6,Good,average
Kaloreez,Vizag,"Plot 95, Opposite St. Lukes Nursing School, Daspalla Hills, Siripuram, Vizag",Siripuram,"Siripuram, Vizag","Cafe, North Indian, Chinese",400,2,3.7,Good,average
Plot 17,Vizag,"Plot 17, Gangapur Layout, Siripuram, Vizag",Siripuram,"Siripuram, Vizag","Burger, Pizza, Biryani",600,2,4.3,Very Good,average
Vista - The Park,Vizag,"The Park, Beach Road, Pedda Waltair, Lawsons Bay, Visakhapatnam, Lawsons Bay, Vizag","The Park, Lawsons Bay","The Park, Lawsons Bay, Vizag","American, North Indian, Thai, Continental",1500,4,3.8,Good,expensive
Flying Spaghetti Monster,Vizag,"10-50-12/F2, Sai Dakshata Complex, Beside Lenovo Showroom,   Visakhapatnam, Waltair Uplands, Waltair Uplands, Vizag",Waltair Uplands,"Waltair Uplands, Vizag",Italian,1400,3,4.4,Very Good,expensive
The Biere Club,Bangalore,"20/2, Vittal Mallya Road,Lavelle
Road Area, Bangalore",Around M G Road,Around M G Road,Mediterranean,400,2,4.5,Excellent,average
"Ithaca, Chancery Pavilion",Bangalore,"Chancery Pavilion, 135, Residency Road, Bangalore",Around M G Road,Around M G Road,"North Indian, Italian, European, Continental",600,2,3.8,Good,average
"Masturi, The Chancery Hotel",Bangalore,"The Chancery Hotel,Lavelle Road,
Bangalore",Around M G Road,Around M G Road,"Japanese, North Indian,
Continental",500,2,3.8,Good,average
"South Parade, The Chancery Hotel",Bangalore,"The Chancery
Hotel,Lavelle Road, Bangalore",Around M G Road,Around M G Road,"North Indian,
Continental, Chinese",400,2,3.9,Good,average
"The Lounge, The Chancery Pavilion",Bangalore,"The Chancery Hotel,Lavelle Road, Bangalore",Around M G Road,Around M G Road,"Chinese, North Indian, South Indian",1500,4,4.3,Very Good,expensive
Blimey,Bangalore,"05 level, Top terrace,1MG Road Mall, MG Road,
Bangalore560008",Around M G Road,Around M G Road,"Continental, Amer ican, Italian",1000,3,4.1,Very Good,expensive
Tao Terraces,Bangalore,"5th Floor, 1 MG Mall,Mahatma Gandhi Road,Someshwarpura, Halasuru, 1MG Road, Bangalore, Karnataka",Around M G Road,Around M G Road,Pan Asian,1200,3,4,Very Good,expensive
Tao Terraces,Bangalore,"5th Floor, 1 MG Mall, Opp. Taj Vivanta,, Ulsoor Rd, Bengaluru,
Karnataka",Around Mg road,Around Mg road,"Thai, Japanese, Ko rean, Burmese, Ch inese",1500,4,4.4,Very Good,expensive
Mama Mexicana,Bangalore,"Swamy Vivekananda
Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru,
Karnataka",Around Mg road,Around Mg road,Mexican,800,3,3.8,Good,expensive
38 Castle Street,Bangalore,"38, Castle St, Ashok Nagar, Bengaluru,
Karnataka 560025",Castle Street,Castle Street,Continental,600,2,4,Very Good,average
"Biso, Citrus",Bangalore,"Citrus Hotels, 34, Cunnigham Road, Bengaluru, Karnataka",Cunningham Road,Cunningham Road,"North  Indian, South
Indian, Italian,Con
tinental",800,3,3.8,Good,expensive
"Skylit, Citrus",Bangalore,"Citrus Hotels, 34, Cunnigham Road,
Bengaluru, Karnataka",Cunningham Road,Cunningham Road,"North Indian, Mughlai,
Mediterranean",1000,3,3.5,Good,expensive
"Irene's, Citrus",Bangalore,"Citrus Hotels, 34, Cunnigham Road,
Bengaluru, Karnataka",Cunningham Road,Cunningham Road,Cafe,1300,3,4.6,Excellent,expensive
Republic of Nooodles- Lemon Tree,Bangalore,"23 Epip Zone, Whitefield,
Bangalore, Karnataka",Electronic City,Electronic City,"Singaporean, Chin ese, Thai, Malaysi
an",800,3,3.5,Good,expensive
Citrus Cafe-Lemon Tree,Bangalore,"54B/55A, Hosur Main Road, Electronics City, Ph-I,
Bangalore, Karnataka",Electronic City,Electronic City,"North Indian, Continenta
l, South Indian",300,1,3.9,Good,average
Slounge-Lemon Tree,Bangalore,"54B/55A, Hosur Main Road, Electronics City, Ph-I,
Bangalore, Karnataka",Electronic City,Electronic City,Finger Food,800,3,3.9,Good,expensive
Amaseena,Bangalore,"ECE, Palace Ground,
Next to NRA Cricket Grounds, Jayamahal Road, Bengaluru,
Karnataka",Frazer Town,Frazer Town,North Indian,600,2,4.3,Very Good,average
SherlocksFrazer town,Bangalore,"60/1, Coles Rd, Cleveland Town, Pulikeshi Nagar,
Bengaluru, Karnataka",Frazer Town,Frazer Town,"Continental, North Indian, Chinese",700,2,4.2,Very Good,expensive
The Table Blue,Bangalore,"664, 1st Stage,
Opposite Biba, Wills Lifestyle Building, 100 Feet Rd, Indiranagar, Bengaluru, Karnataka
560038",Indiranagar,Indiranagar,"Continental, European",600,2,4.1,Very Good,average
Sherlocls-Indiranagar,Bangalore,"212/A, 1st Main Road, Domlur 2nd Stage, Bengaluru, Karnataka",Indiranagar,Indiranagar,"Continental, North Indian, Chinese",1000,3,4.1,Very Good,expensive
Incanto - The Zuri,Bangalore,"ITPL Road, Whitefield Bangalore
Karnataka, 560 048
INDIA",ITPL,ITPL,Italian,450,2,3.4,Average,average
"Sake - Pan Asian & Lounge
- The Zuri",Bangalore,"ITPL Road, Whitefield Bangalore
Karnataka, 560 048
INDIA",ITPL,ITPL,"Thai, Chinese, Asian",700,3,3.7,Good,expensive
Bling - The Zuri,Bangalore,"ITPL Road, Whitefield Bangalore
Karnataka, 560 048
INDIA",ITPL,ITPL,"North Indian, Continental",650,3,3.2,Average,average
Infinity - The Zuri,Bangalore,"ITPL Road, Whitefield Bangalore
Karnataka, 560 048
INDIA",ITPL,ITPL,"North Indian, Continental, Chinese",300,2,3.7,Good,average
Karibu - The Zuri,Bangalore,"ITPL Road, Whitefield Bangalore
Karnataka, 560 048
INDIA",ITPL,ITPL,"North Indian, Continental",300,2,3.6,Good,average
Via Milano,Bangalore,"612, Basil Moneta, 80 Feet Peripheral Road, Koramangala 4th Block, Bangalore 560034",Koramangala,Koramangala,Italian,450,2,3.7,Good,average
Barleyz,Bangalore,"2/3, Above Pantaloons, Sony World Junction, 80 Feet Road, Koramangala, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"North Indian, Continental, Chinese",0,1,3.8,Good,cheap
High Ultra Lounge,Bangalore,"26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram West, Bangalore",Malleshwaram,Malleshwaram,"Japanese, Thai, Chinese, Korean",450,2,3.5,Good,average
Sherlocks-Marathalli,Bangalore,"19, Senate 2nd Floor, Krishna Tower, Outer Ring Rd, Marathahalli,
Bengaluru, Karnataka",Marathalli,Marathalli,"Continental, North Indian, Chinese",150,1,4.1,Very Good,cheap
Italia - The Park,Bangalore,"The Park, 14/7, MG Road, Bangalore",MG Road,MG Road,Italian,800,3,3.3,Average,expensive
Monsoon - The Park,Bangalore,"The Park, 14/7, MG Road, Bangalore",MG Road,MG Road,"Italian, North Indian",400,2,3.4,Average,average
Strawberry Moon,Bangalore,"ITPL Main Rd, Whitefield, Bengaluru,
Karnataka 560048",Race Course Road,Race Course Road,Finger Food,600,3,3.5,Good,average
Aromas of South,Bangalore,"ITPL Main Rd, Whitefield, Bengaluru,
Karnataka 560048",Race Course Road,Race Course Road,South Indian,350,2,3.4,Average,average
37 China Town,Bangalore,"ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560048",Race Course Road,Race Course Road,"Chinese, Thai, North Indian, South Indian,
Continental",600,3,3.6,Good,average
Silver Spoons,Bangalore,"ITPL Main Rd, Whitefield, Bengaluru,
Karnataka 560048",Race Course Road,Race Course Road,CafÃ©,600,3,3.3,Average,average
"Kabab Studio,Goldfinch",Bangalore,"32/3, Crescent Road, Off Race Course Road, High Grounds,
Bengaluru, Karnataka",Sheshadharipu ram,Sheshadharipu ram,"North Indian, Chinese, C
ontinental",1100,4,3.3,Average,expensive
"Banjara,Goldfinch",Bangalore,"32/3, Crescent Road, Off Race Course Road, High Grounds,
Bengaluru, Karnataka",Sheshadharipu ram,Sheshadharipu ram,"North Indian, Chinese",1000,4,3.5,Good,expensive
"Sanadige,Goldfinch",Bangalore,"32/3, Crescent Road, Off Race Course Road, High Grounds,
Bengaluru, Karnataka",Sheshadharipu ram,Sheshadharipu ram,"Kerala, Mangalore an, Maharashtrian
, Goan,Seafood",500,3,3.2,Average,average
Mandrake,Bangalore,"2, 3rd Floor, Manandi Plaza, St. Marks Road,
Bangalore 560001",St. Marks Road,St. Marks Road,"Continental, Thai, North Indian,
Italian",0,1,3.5,Good,cheap
Mustard and Cress,Bangalore,"153 Biere Street,
Behind Forum Value Mall, Varthur Main Road, Whitefield, Bangalore",Whitefield,Whitefield,"Mediterranean, It alian",700,3,3.5,Good,expensive
"Biere Club, Whitefield",Bangalore,"153, Biere Street,
Behind Forum Value Mall, Varthur Main Road, Whitefield,
Bangalore",Whitefield,Whitefield,Mediterranean,600,2,4.6,Excellent,average
Hanoi,Bangalore,"1st Floor, Phoenix
Market City Mall, Whitefield, Bangalore",Whitefield,Whitefield,Vietnamese,600,2,4.3,Very Good,average
Citrus Cafe-Lemon Tree,Bangalore,"23 Epip Zone, Whitefield, Bangalore, Karnataka",Whitefield,Whitefield,"North Indian, Continenta
l, South
Indian,Asian",300,1,4.2,Very Good,average
Slounge-Lemon Tree,Bangalore,"23 Epip Zone,
Whitefield, Bangalore, Karnataka",Whitefield,Whitefield,Finger Food,1300,3,4.4,Very Good,expensive
Underdoggs sports bar and grill,Chandigarh,"178A,3rd Floor,Elante Mall,Industrial Area Phase 1, Chandigarh,
160002",Elante Mall,Elante Mall,"American, Italian, North Indian",1700,4,4.1,Very Good,expensive
Checkers,Chandigarh,"SCF 74, Near PCA
Stadium, Phase 9, Mohali",Mohali,Mohali,"North Indian, Mughlai, Chinese, Continental",300,1,3.7,Good,average
Arabic Restro Bar Lounge,Chandigarh,"SCO 670, Sector 70, Mohali",Mohali,Mohali,"North Indian, Chinese",1600,4,4.9,Excellent,expensive
Hut K Restaurant & Bar,Chandigarh,"Aura Vaseela Heritage
Resort, Near Post Office Dharamgarh, Nadiali Village, Near Phase 11,
Mohali",Nadiali Village,Nadiali Village,"North Indian, Chinese, Continental",1000,3,3.8,Good,expensive
Rock House,Chandigarh,"SCO 387, Basement,
Sector 8, Panchkula",Panchkula,Panchkula,"North Indian,
Chinese",450,2,3.8,Good,average
CafÃ© G,Chandigarh,"Holiday Inn, City Centre, Sector 3, Sector
2, Panchkula",Panchkula,Panchkula,"North Indian, Fast Food",600,2,3.6,Good,average
Still's Bar,Chandigarh,"Holiday Inn, City Centre, Sector 3, Sector
2, Panchkula",Panchkula,Panchkula,Finger Food,600,2,3.5,Good,average
Daawat-e-Shiraaz,Chandigarh,Site No. 5 Sector 10 Panchkula,Panchkula,Panchkula,"North Indian, Chinese,
Continental",500,2,3.6,Good,average
Maverick,Chandigarh,"Ground Floor, Picaddilly Square Mall, Sector 34 A, Chandigar",Piccadily Square Mall,Piccadily Square Mall,"Italian, North Indian",500,2,3.7,Good,average
Cabaacha,Chandigarh,"The Toy Hotel, SCO 165 to 167, Sector 34 A,
Sector 34, Chandigarh",Sec 34,Sec 34,"North Indian, Chinese, Continental, Asian",600,2,4.1,Very Good,average
The Gaur,Chandigarh,"SCO 152-154, Sector 43
B, Sector 43,
Chandigarh",Sec 43,Sec 43,"North Indian, Chinese,
Continental",450,2,4,Very Good,average
Rustles-Hotel mount View,Chandigarh,"Sector 10, Chandigarh,",Sector 10,Sector 10,"North Indian, Continenta
l",600,2,3.6,Good,average
The Magic Wok-Hotel mount View,Chandigarh,"Sector 10, Chandigarh,",Sector 10,Sector 10,Chinese,400,2,3.7,Good,average
Vintage Terrace Lounge Bar-Hotel mount View,Chandigarh,"Sector 10, Chandigarh,",Sector 10,Sector 10,Chinese,600,2,4.3,Very Good,average
Round The Clock-Hotel mount View,Chandigarh,"Sector 10, Chandigarh,",Sector 10,Sector 10,"Cafe, South Indian, North
Indian",1500,4,3.8,Good,expensive
Antheia,Chandigarh,"Hotel Antheia, 170 & 171, Sector 34,
Chandigarh",Sector 34,Sector 34,"North Indian, Chinese, Italian,
Continental",1400,3,4.4,Very Good,expensive
S4,Chandigarh,"Hotel Metro 35, SCO 401 & 402, Sector 35 C,
Sector 35, Chandigarh",Sector 35,Sector 35,"North Indian, Chinese",689.5480226,2.356497175,3.79480226,Excellent,average
Hangout - Lounge Bar,Chandigarh,"Hotel Metro 35, SCO 401 & 402, Sector 35 C,
Sector 35, Chandigarh",Sector 35,Sector 35,"North Indian, Mughlai, Chinese",689.15069,2.352885061,3.793101788,Good,average
7 West,Chandigarh,"SCO 103-106, B,
Chandigarh, 43A,
Sector 43, Chandigarh, Punjab",Sector 43,Sector 43,"North Indian, Continenta
l, Chinese, Thai",688.7533574,2.349272946,3.791401315,Good,average
Gusto Cafe & Restaurant,Chandigarh,"SCO 180, Inner Market, Sector 7 C, Chandigarh",Sector 7,Sector 7,"Spanish, Italian, Turkish, Moroccan, Greek,
CafÃ©",688.3560248,2.345660832,3.789700843,Good,average
Hibachi,Chandigarh,"Hotel Icon, SCO 58 to 61, Madhya Marg, Sector 8 C, Chandigarh",Sector 8,Sector 8,"Chinese, Japanese, Thai, Asian",687.9586922,2.342048717,3.78800037,Very Good,expensive
Lush Bar,Chandigarh,"Hotel Icon, SCO 58 to 61, Madhya Marg, Sector 8 C, Chandigarh",Sector 8,Sector 8,Finger Food,687.5613596,2.338436603,3.786299898,Very Good,expensive
Hops N Grains,Chandigarh,"SCO 358, Sector 9, Panchkula",Sector 9,Sector 9,"North Indian, Italian, Mediterranean,
Pizza",687.164027,2.334824488,3.784599426,Very Good,expensive
Miami,Chandigarh,"SCO 18-19,Basement of Amartex, Sector 9-D, Madhya Marg,
Chandigarh,","Sector 9, Chandigarh","Sector 9, Chandigarh","North Indian, Mughlai",686.7666945,2.331212374,3.782898953,Very Good,expensive
Nabobs Cafe & Pub,Chandigarh,"SCS 2, Inner Market, Sector 9D, Chandigarh,","Sector 9, Chandigarh","Sector 9, Chandigarh","Italian, North
Indian, Continenta l, Cafe",686.3693619,2.327600259,3.781198481,Good,expensive
"Tuscana Pizzaeria, Shastri Nagar",Chennai,"Shastri Nagar, 3rd
Cross, Adyar, Chennai, Tamil Nadu",Adyar,Adyar,"Italian, Pizza",685.9720293,2.323988145,3.779498009,Very Good,average
Masala Pattinam,Chennai,"10, Behind Kaveri Hospital, Sir CV Raman Road, Alwarpet,
Chennai",Alwarpet,Alwarpet,Chettinad Food,685.5746967,2.32037603,3.777797536,Good,expensive
Colony,Chennai,"The Raintree, 120, St
Mary's Road, Alwarpet, Chennai",Alwarpet,Alwarpet,"Italian, North
Indian, South Indian",685.1773641,2.316763916,3.776097064,Good,expensive
Chap Chay,Chennai,"The Raintree, 120, St Mary's Road, Alwarpet,
Chennai",Alwarpet,Alwarpet,"Chinese, Malaysian, Thai",684.7800315,2.313151801,3.774396592,Excellent,expensive
Above Sea Level,Chennai,"The Raintree, 120, St
Mary's Road, Alwarpet, Chennai",Alwarpet,Alwarpet,"Continental,
Mughlai, North Indian, Seafood",684.3826989,2.309539687,3.772696119,Good,expensive
"Tuscana Pizzeria, Charmiers Road",Chennai,"89, Chamiers Road,
Nandanam, Chennai, Tamil Nadu",Alwarpet,Alwarpet,"Italian, Pizza",683.9853663,2.305927572,3.770995647,Good,average
The Kitchen- Raintree Hotels,Chennai,"The Raintree, 636, Anna Salai, Teynampet, Chennai",Anna Salai,Anna Salai,"Continental, North Indian,South Indian, Italian, Asi
an",683.5880337,2.302315458,3.769295175,Good,expensive
Madras- Raintree Hotels,Chennai,"The Raintree, 636, Anna Salai, Teynampet, Chennai",Anna Salai,Anna Salai,"South Indian, Kerala, Che
ttinad",683.1907011,2.298703344,3.767594702,Very Good,average
Madera- Raintree Hotels,Chennai,"The Raintree, 636, Anna Salai, Teynampet, Chennai",Anna Salai,Anna Salai,Finger Food,682.7933685,2.295091229,3.76589423,Very Good,expensive
Up North- Raintree Hotels,Chennai,"The Raintree, 636, Anna Salai, Teynampet, Chennai",Anna Salai,Anna Salai,North Indian,682.3960359,2.291479115,3.764193758,Very Good,average
High- Raintree Hotels,Chennai,"The Raintree, 636, Anna Salai, Teynampet, Chennai",Anna Salai,Anna Salai,Finger Food,681.9987033,2.287867,3.762493285,Very Good,expensive
